document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.17775510204081632,0.3075797485821908,0.16528335965499025,35
17,0.21007804351358292,0.27838335574792744,0.1959338852933389,29
25,0.4444444444444444,0.6025763041758914,0.4444444444444444,18
43,0.09090909090909091,0.11111111111111112,0.09090909090909091,11
45,0.3125,0.4046348093747638,0.30878930391966736,20
47,0.06779661016949153,0.17615395319485497,0.06779661016949154,59
51,0.20578512396694215,0.26100191030338643,0.1949831932401292,22
60,0.056365403304178816,0.191780277910514,0.05793381698195639,49
65,0.24142698848581204,0.3325557734716589,0.23267444730169648,37
66,0.023255813953488372,0.17667385483390954,0.023255813953488372,43
