document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7616666666666666,0.7925807928630509,0.7555068176046235,40
17,0.37254901960784315,0.24693460275356827,0.32145411149284364,8
25,0.5822222222222222,0.6796115627822945,0.5862857426835231,15
43,0.1,0.9099999999999999,0.1,10
45,0.8666666666666667,0.8838709677419355,0.8666666666666668,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.696969696969697,0.7647727272727273,0.6890671519579697,11
60,0.21704344728036865,0.2200359451080188,0.2558267741278437,153
65,0.31001000047621313,0.29147484089543974,0.30877071182842375,83
66,0.5830241187384045,0.6326634853764671,0.5732440694230012,77
