document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.6860544217687075,0.6602323881892556,0.6622000369172137,35
17,0.4413984719952479,0.4260237851959805,0.42218533979386696,29
25,0.8055555555555556,0.8715703775830358,0.806863159827909,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.9035409035409036,0.8450618131868131,0.904111343744599,20
47,0.502303346371143,0.7717655847649795,0.4930833016645841,59
51,0.8700144300144301,0.7452260080375915,0.8769137928118197,22
60,0.7969711694201491,0.768799750437699,0.771498958621039,49
65,0.6049140049140049,0.6220351461225825,0.601950277956439,37
66,0.7408637873754153,0.7369160073102856,0.7237453046711771,43
