document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7459183673469388,0.7640545979634893,0.7318935316477602,35
17,0.29459279170232516,0.36729866508512765,0.29027155635597823,29
25,0.7901234567901234,0.8822900479150478,0.7848533072108219,18
43,0.14285714285714288,0.8484848484848485,0.14361260650342417,11
45,0.9213186813186812,0.8700024781919111,0.9153155481473039,20
47,0.4910039113428944,0.5593160286713555,0.48427997985983284,59
51,0.8131313131313131,0.6805857497997947,0.8181818181818183,22
60,0.7697602850664075,0.7380108114854947,0.7524807576456783,49
65,0.16216216216216217,0.2754686624530284,0.16216216216216217,37
66,0.046511627906976744,0.18501170286466762,0.046511627906976744,43
