document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7656462585034014,0.7540615475356562,0.7347321988567024,35
17,0.2627659021168149,0.35894575444708904,0.25795715277385756,29
25,0.8055555555555556,0.8715703775830358,0.806863159827909,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.9126318126318127,0.8453907605552342,0.9145991135585098,20
47,0.5082854002096275,0.5599911270462118,0.4992377086465017,59
51,0.7532467532467533,0.5889170272394438,0.7531745449103417,22
60,0.7629575639779721,0.7348861630584858,0.7428397999515749,49
65,0.13513513513513514,0.26447402051903496,0.13513513513513517,37
66,0.07885994054904705,0.21167749478117895,0.07598846492613097,43
