document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7058333333333333,0.7555961538461539,0.6992422520205103,40
17,0.2683823529411765,0.1134281205571341,0.23346473510988883,8
25,0.5850000000000001,0.6892040978639601,0.5882013348326454,15
43,0.1,0.9099999999999999,0.1,10
45,0.888888888888889,0.8989247311827957,0.8813525433707887,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.8398268398268397,0.889448051948052,0.8256424954330307,11
60,0.22366703821341383,0.24180934588994255,0.24890376500751285,153
65,0.3146299483648881,0.30929500238825025,0.30866038948639063,83
66,0.5452285214001759,0.5374108533617201,0.5671511327671874,77
