document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.745,0.8028486098413943,0.7410133508161818,40
17,0.2558823529411765,0.149326002944424,0.232698995673925,8
25,0.7155555555555555,0.8000877532584849,0.7196190760168564,15
43,0.1,0.9099999999999999,0.1,10
45,0.888888888888889,0.8989247311827957,0.8813525433707887,15
47,0.8842105263157896,0.9102073365231259,0.8741142157712759,19
51,0.696969696969697,0.7647727272727273,0.6890671519579697,11
60,0.16176470588235295,0.24921290846296607,0.16130852513813868,153
65,0.03048557867834976,0.15065395197014428,0.03166167715226926,83
66,0.1985157699443414,0.3021657571476465,0.19732875766452704,77
