document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.39916666666666667,0.45553418803418805,0.390628321635505,40
17,0.22794117647058826,0.2990465416936005,0.2132597218042136,8
25,0.7155555555555555,0.8000877532584849,0.7196190760168564,15
43,0.1,0.9099999999999999,0.1,10
45,0.8222222222222223,0.8467508181393175,0.8146858767041221,15
47,0.8842105263157896,0.9362573099415205,0.8794366982424356,19
51,0.6060606060606061,0.6878607503607503,0.5981580610488788,11
60,0.14967320261437908,0.24145779388296482,0.14741443703376286,153
65,0.024096385542168676,0.1549362583941335,0.02409638554216868,83
66,0.03896103896103896,0.16142814529178165,0.03896103896103896,77
