document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7173469387755103,0.7284007377571994,0.7033221030763316,35
17,0.496536593899677,0.47390903768286513,0.48746688049617937,29
25,0.6234567901234568,0.7267573090489757,0.6181866405441553,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.9404095904095904,0.8778161421911422,0.9438373091684029,20
47,0.49503942385298316,0.5427719996575929,0.4846481962107819,59
51,0.8754689754689754,0.7232715844642391,0.8864694899193488,22
60,0.7459507612568838,0.7169811354156072,0.7243863057620754,49
65,0.3373464373464374,0.4224784178816437,0.32954279988720164,37
66,0.4219056137660788,0.4519049933474902,0.40941077679443305,43
