document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.745,0.8008186953114796,0.7410133508161818,40
17,0.2573925204052913,0.09938000785838082,0.23396408200921065,8
25,0.7155555555555555,0.8000877532584849,0.7196190760168564,15
43,0.1,0.9099999999999999,0.1,10
45,0.9555555555555556,0.9397849462365592,0.9480192100374555,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.8216450216450216,0.876461038961039,0.8256424954330307,11
60,0.21128715148322993,0.25066349692516654,0.19148581648520768,153
65,0.22949981745162465,0.3157305055275495,0.22343227052851905,83
66,0.2987012987012987,0.39340244023017135,0.2987012987012987,77
